id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
2015	Berlin-Mitte Value! Quiet courtyard/very central	2217	Ian	Mitte	Brunnenstr. Süd	5.253.453.732.241.740	13.402.556.926.822.300	Entire home/apt	60	4	118	2018-10-28	3.76	4	141
2695	Prenzlauer Berg close to Mauerpark	2986	Michael	Pankow	Prenzlauer Berg Nordwest	5.254.851.279.221.660	13.404.552.826.587.400	Private room	17	2	6	2018-10-01	1.42	1	0
3176	Fabulous Flat in great Location	3718	Britta	Pankow	Prenzlauer Berg Südwest	52.534.996.191.586.700	13.417.578.665.333.200	Entire home/apt	90	62	143	2017-03-20	1.25	1	220
3309	BerlinSpot Schöneberg near KaDeWe	4108	Jana	Tempelhof - Schöneberg	Schöneberg-Nord	52.498.854.933.130.000	1.334.906.453.348.710	Private room	26	5	25	2018-08-16	0.39	1	297
7071	BrightRoom with sunny greenview!	17391	Bright	Pankow	Helmholtzplatz	525.431.572.633.131	13.415.091.104.515.700	Private room	42	2	197	2018-11-04	1.75	1	26
9991	Geourgeous flat - outstanding views	33852	Philipp	Pankow	Prenzlauer Berg Südwest	52.533.030.768.026.800	13.416.046.823.956.400	Entire home/apt	180	6	6	2018-07-23	0.15	1	137
14325	Apartment in Prenzlauer Berg	55531	Chris + Oliver	Pankow	Prenzlauer Berg Nordwest	52.547.846.407.992.100	13.405.562.243.722.400	Entire home/apt	70	90	23	2018-11-01	0.23	3	129
16644	In the Heart of Berlin - Kreuzberg	64696	Rene	Friedrichshain-Kreuzberg	nördliche Luisenstadt	5.250.479.227.385.910	13.435.101.853.886.000	Entire home/apt	90	60	48	2017-12-14	0.47	2	159
17409	Downtown Above The Roofs In Berlin	67590	Wolfram	Pankow	Prenzlauer Berg Südwest	5.252.907.092.467.370	13.412.843.393.984.900	Private room	45	3	279	2018-10-31	2.83	1	42
17904	Beautiful Kreuzberg studio/WiFi (reg. pend.)	68997	Matthias	Neukölln	Reuterstraße	52.495.476.326.623.800	13.421.821.277.536.600	Entire home/apt	49	5	223	2018-10-30	2.10	1	232
20858	Designer Loft in Berlin Mitte	71331	Marc	Pankow	Prenzlauer Berg Südwest	5.253.695.243.192.390	13.407.615.032.621.500	Entire home/apt	129	3	56	2018-10-20	0.75	1	166
